"file","type","token","text","Human_Label","bookNLP_Label"
"2011_Clancy,Tom_LockedOn_BS.txt","social","adopted","The beep followed . Jack Sr . adopted a light and airy tone that belied his true mood .","NON","NON"
"2013_Kaufman,Amie_TheseBrokenStars_SF.txt","perception","find","I know she ’s playing a game with me , but I do n’t know the rules , and she ’s got all the cards . Still , the hell with it — I just ca n’t find it in me to care that I ’m losing .","COG","NON"
"2015_Silvera,Adam_MoreHappyThanNot_YA.txt","cognition","know","“ Talk to me , ” Mom says , sneaking a peek at the clock on her monitor screen . I know she ’s not rushing me , especially when she has no idea what the hell I want to say , but our bank status is no doubt still on her mind as it has to be .","COG","COG"
"2013_Gabriel,Julia_Cupcakes&Chardonnay_ROM.txt","communication","repeated","Happiness , a few minutes of pleasure baked into the form of a cupcake . She repeated that line when a television news crew from San Francisco showed up at one o'clock to interview Suzanne and several customers .","NON","NON"
"2013_LeirenYoung,Mark_FreeMagicSecretsRevealed_CT.txt","possession","handed","Then he reminded me the rafting trip was “ only a hundred bucks . ” I handed him a cheque .","MOT","NON"
"2016_Starhawk_CityofRefuge_SF.txt","motion","walking","There was no way to avoid such places , only to navigate them . He could be walking to a triumph , or to his death .","MOT","MOT"
"2018_Schwab,Victoria_CityofGhosts_MG.txt","motion","follow","At first I think he has seen something strange in the reflection , but then I realize it ’s the reflection itself that ’s snagged his attention . I follow his gaze and go still , the hair on my arms standing on end .","NON","MOT"
"2010_Galgut,Damon_InaStrangeRoom_PW.txt","possession","taken","She forms the words again and this time I do hear . Tell them what I ’ve taken .","NON","NON"
"2015_Chu,Wesley_TheRebirthspfTao_SF.txt","perception","watched","I ’m going to take your daughter next door . ” Roen watched as she coaxed the girl out from behind her father and ushered her into the next room .","NON","NON"
"2012_Flynn,Vince_TheLastMan_BS.txt","perception","seen","Rather than go to jail , the whiz kid decided to come to work for Langley . Rapp had rarely if ever seen him so frustrated .","NON","NON"
"2016_Barwin,Gary_YiddishforPirates_PW.txt","contact","gnaw","When he turned to the roiling stew , I beaked a sheet of some dun - coloured thing , perhaps salted foresail or the foreskin of whale , and brought it to Moishe . “ Es , es , my friend , ” I said , standing one - legged on his shoulder and holding out the food so he could gnaw the salt sheet .","MOT","MOT"
